Var1;Var2_1;Var2_2;Var2_3;Var2_4;Var2_5;Var2_6;Var2_7;Var2_8
37;777.999142930733;418.090307406287;150.446215499321;41.0653862233056;9.05020924104332;0.835863106063756;0.205032766841437;150.537673166868
38;666.32795395725;371.448101831614;137.997983084389;38.8411274988794;8.82321216461773;0.83999427574399;0.192944227130681;125.578795685087
39;614.026919853318;358.210202395714;138.052766731687;40.2403101979178;9.46160331875313;0.932344190070947;0.199205092020255;112.827295849054
40;544.031052262877;329.500272845425;131.241457315785;39.4689906299692;9.56951333166195;0.97229886284785;0.201157283423729;97.5459295501533
41;520.905137950949;330.87354437469;136.97695380224;42.7221433853726;10.7346700343542;1.13014187494561;0.224156616545161;91.2406860728568
42;502.165701219783;334.048392753217;143.715789218342;46.4702776023051;12.0952359830432;1.31875438736292;0.253307435829233;86.0141063613145
43;444.948607471444;305.542745153273;135.558669239869;45.1164515681031;12.0778639801623;1.35411397385697;0.255731590784008;74.5835735515359
44;404.188725381637;287.037240399884;131.439010190253;45.0688396121102;12.4200932533075;1.4330442118978;0.263202614033247;66.3729217230399
45;376.244619645949;276.821901468671;130.957664742962;46.3077920378747;13.1491290434443;1.56271246028941;0.278683648434905;60.5954889942034
46;319.726231655792;240.918767427182;116.970211577698;42.395091433368;12.3301357547051;1.50047463670427;0.268407820640223;50.532788364739
47;287.777139021855;223.233198514294;111.520733659841;41.5384818542193;12.4056132527134;1.54966697312111;0.268227607910202;44.6955424180188
48;264.105752264621;211.151839274245;108.592901773011;41.5908601394982;12.7622045320768;1.63733115741573;0.274826185739864;40.3570632230909
49;264.59341831907;220.700937137769;117.662528876277;46.6450682504802;14.8009686441465;1.96262270086984;0.326029083572322;39.8627911910359
50;272.511067371813;238.722625837011;132.513271396167;54.5897283817739;17.9811793816498;2.47360716653466;0.420490405714957;40.5782361647975
51;280.235893211883;256.851870999443;148.228401959589;63.3530971218795;21.6276264691667;3.08176791286004;0.513448844308186;41.3438755957819
52;289.357059892347;277.547995227892;166.634599637496;73.9316057467998;26.1715156676882;3.86464810342544;0.640302931566822;42.4148620650559
53;299.005816262799;299.787715937724;187.211645576377;86.2054061065679;31.6365541512197;4.84006974913967;0.794278247677655;43.6883010705306
54;308.912101091042;322.695359294079;209.27861344928;99.8721095891675;37.9441921983491;6.00596167404231;0.958153065575558;45.1389126246055
55;313.02526533668;343.051762866785;232.142398124845;115.331247481092;45.5601292155652;7.49281790359427;1.29227787105234;45.9846051630536
56;306.803383489346;353.329858103053;249.91902133052;129.47512305763;53.2667245870486;9.11618996852483;1.69714186187906;45.6505383151204
57;283.565882189875;343.641486509561;254.497615833081;137.712900948046;59.096366182632;10.5409595288908;2.17993214330525;43.1259087481042
58;259.136643722847;329.352333156701;255.060886976535;143.999108978071;64.3872204900748;11.956992879557;2.54660392885625;40.7322800078416
59;249.430623086466;330.002784933224;266.151441958876;156.19886448377;72.5165006491424;13.9718764447663;2.69546617689519;40.8896939247427
